bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
44420.0,24426.0,2914408.0,2905767.0,-4150.0,2139.0,20.0
44430.0,24431.0,2916018.0,2907253.0,-4164.0,2137.0,20.0
44440.0,24437.0,2917662.0,2908740.0,-4136.0,2141.0,21.0
44450.0,24442.0,2919247.0,2910237.0,-4150.0,2139.0,20.0
44460.0,24448.0,2920868.0,2911733.0,-4155.0,2138.0,20.0
44470.0,24453.0,2922513.0,2913230.0,-4207.0,2130.0,19.0
44480.0,24459.0,2924286.0,2914910.0,-4232.0,2126.0,18.0
44490.0,24464.0,2926143.0,2916590.0,-4238.0,2125.0,18.0
44500.0,24470.0,2928017.0,2918270.0,-4212.0,2129.0,18.0
44510.0,24475.0,2929830.0,2919973.0,-4231.0,2126.0,18.0
44520.0,24481.0,2931696.0,2921677.0,-4258.0,2121.0,17.0
44530.0,24486.0,2933649.0,2923380.0,-4290.0,2116.0,16.0
44540.0,24492.0,2935699.0,2925200.0,-4265.0,2120.0,17.0
44550.0,24497.0,2937682.0,2927020.0,-4278.0,2118.0,16.0
44560.0,24503.0,2939703.0,2928840.0,-4256.0,2122.0,17.0
44570.0,24508.0,2941668.0,2930683.0,-4307.0,2113.0,16.0
44580.0,24514.0,2943789.0,2932527.0,-4291.0,2116.0,16.0
44590.0,24519.0,2945874.0,2934370.0,-4354.0,2105.0,15.0
44600.0,24525.0,2948168.0,2936370.0,-4343.0,2107.0,15.0
44610.0,24530.0,2950431.0,2938370.0,-4317.0,2111.0,15.0
44620.0,24536.0,2952604.0,2940370.0,-4272.0,2119.0,16.0
44630.0,24541.0,2954649.0,2942323.0,-4341.0,2108.0,15.0
44640.0,24547.0,2956908.0,2944277.0,-4347.0,2107.0,15.0
44650.0,24552.0,2959202.0,2946230.0,-4354.0,2105.0,15.0
44660.0,24558.0,2961522.0,2948237.0,-4347.0,2107.0,15.0
44670.0,24563.0,2963822.0,2950243.0,-4306.0,2113.0,16.0
44680.0,24569.0,2965983.0,2952250.0,-4322.0,2111.0,15.0
44690.0,24574.0,2968190.0,2954137.0,-4291.0,2116.0,16.0
44700.0,24580.0,2970302.0,2956023.0,-4260.0,2121.0,17.0
44710.0,24585.0,2972308.0,2957910.0,-4185.0,2133.0,19.0
44720.0,24591.0,2974102.0,2959627.0,-4229.0,2126.0,18.0
44730.0,24596.0,2976014.0,2961343.0,-4248.0,2123.0,17.0
44740.0,24602.0,2977993.0,2963060.0,-4272.0,2119.0,17.0
44750.0,24607.0,2980051.0,2964997.0,-4296.0,2115.0,16.0
44760.0,24613.0,2982191.0,2966933.0,-4321.0,2111.0,15.0
44770.0,24618.0,2984424.0,2968870.0,-4334.0,2109.0,15.0
44780.0,24624.0,2986703.0,2970827.0,-4311.0,2113.0,16.0
44790.0,24629.0,2988900.0,2972783.0,-4264.0,2120.0,17.0
44800.0,24635.0,2990970.0,2974740.0,-4361.0,2104.0,15.0
44810.0,24640.0,2993342.0,2976837.0,-4349.0,2106.0,15.0
44820.0,24646.0,2995690.0,2978933.0,-4322.0,2111.0,15.0
44830.0,24651.0,2997940.0,2981030.0,-4303.0,2114.0,16.0
44840.0,24657.0,3000127.0,2982990.0,-4294.0,2116.0,16.0
44850.0,24662.0,3002286.0,2984950.0,-4286.0,2117.0,16.0
44860.0,24668.0,3004417.0,2986910.0,-4276.0,2119.0,17.0
44870.0,24673.0,3006523.0,2988863.0,-4292.0,2116.0,16.0
44880.0,24679.0,3008678.0,2990817.0,-4289.0,2117.0,16.0
44890.0,24684.0,3010826.0,2992770.0,-4254.0,2122.0,17.0
44900.0,24690.0,3012863.0,2994613.0,-4247.0,2124.0,17.0
44910.0,24695.0,3014878.0,2996457.0,-4229.0,2127.0,18.0
44920.0,24701.0,3016838.0,2998300.0,-4200.0,2131.0,19.0
44930.0,24706.0,3018719.0,3000163.0,-4251.0,2123.0,17.0
44940.0,24712.0,3020754.0,3002027.0,-4274.0,2119.0,17.0
