Gasage (yr BP),CO2 (ppmv),sigma mean CO2 (ppmv)
147634.0,2246.0,8.0
147763.0,2274.0,11.0
147878.0,2278.0,2.0
147991.0,2285.0,10.0
148106.0,2276.0,4.0
148224.0,2265.0,7.0
148348.0,2284.0,0.0
148448.0,2279.0,4.0
148575.0,2332.0,15.0
148692.0,2322.0,6.0
148807.0,2279.0,11.0
148925.0,2306.0,12.0
149042.0,2287.0,5.0
149159.0,2284.0,5.0
149290.0,2285.0,3.0
149537.0,2289.0,12.0
149765.0,2298.0,21.0
149873.0,2277.0,12.0
150115.0,2284.0,10.0
150348.0,2254.0,8.0
150725.0,2290.0,2.0
150958.0,2345.0,0.0
151335.0,2297.0,6.0
151565.0,2288.0,9.0
151811.0,2278.0,10.0
152189.0,2302.0,3.0
152434.0,2283.0,12.0
152807.0,2258.0,9.0
153209.0,2276.0,14.0
153452.0,2289.0,10.0
153828.0,2254.0,16.0
154101.0,2247.0,8.0
154629.0,2233.0,14.0
155464.0,2235.0,3.0
156494.0,2228.0,14.0
157048.0,2222.0,6.0
157677.0,2249.0,19.0
158450.0,2224.0,4.0
159203.0,2235.0,6.0
159365.0,2238.0,6.0
159955.0,2237.0,21.0
159990.0,2244.0,2.0
160147.0,2224.0,9.0
160338.0,2245.0,14.0
160830.0,2242.0,8.0
161141.0,2224.0,13.0
161512.0,2249.0,10.0
161667.0,2262.0,1.0
161875.0,2215.0,12.0
162087.0,2273.0,12.0
162230.0,2232.0,6.0
162406.0,2205.0,11.0
162607.0,2186.0,10.0
162787.0,2142.0,6.0
162970.0,2128.0,7.0
163174.0,2146.0,6.0
163373.0,2124.0,12.0
163542.0,2148.0,12.0
163749.0,2112.0,5.0
163919.0,2095.0,8.0
164107.0,2129.0,9.0
164313.0,2118.0,18.0
164584.0,2172.0,3.0
164720.0,2139.0,11.0
165099.0,2079.0,1.0
165535.0,2087.0,5.0
165900.0,2085.0,8.0
166559.0,2132.0,8.0
167335.0,2102.0,11.0
167975.0,2055.0,10.0
168693.0,2052.0,10.0
169288.0,2029.0,7.0
169948.0,2043.0,11.0
170918.0,2021.0,11.0
171637.0,1986.0,13.0
172362.0,1983.0,8.0
172879.0,1959.0,5.0
173119.0,1947.0,3.0
173605.0,1905.0,9.0
173853.0,1930.0,4.0
174100.0,1919.0,3.0
174350.0,1908.0,5.0
174610.0,1930.0,5.0
174853.0,1915.0,5.0
175109.0,1916.0,1.0
175346.0,1924.0,6.0
175615.0,1926.0,3.0
175863.0,1970.0,9.0
176120.0,1958.0,2.0
176379.0,1932.0,12.0
176651.0,1944.0,6.0
176912.0,1915.0,13.0
177170.0,1895.0,6.0
177438.0,1904.0,2.0
177697.0,1917.0,3.0
177976.0,1873.0,7.0
178254.0,1912.0,12.0
178546.0,1895.0,7.0
178810.0,1903.0,12.0
179072.0,1917.0,3.0
179360.0,1885.0,10.0
179658.0,1887.0,1.0
179920.0,1890.0,6.0
180245.0,1878.0,11.0
180501.0,1877.0,5.0
180816.0,1886.0,5.0
181106.0,1886.0,15.0
181398.0,1849.0,2.0
181732.0,1890.0,11.0
182018.0,1856.0,10.0
182322.0,1889.0,5.0
182647.0,1885.0,12.0
182958.0,1890.0,2.0
183244.0,1871.0,8.0
183604.0,1887.0,2.0
183912.0,1882.0,12.0
184224.0,1885.0,7.0
184578.0,1874.0,11.0
184866.0,1871.0,7.0
185200.0,1877.0,1.0
185829.0,1886.0,6.0
186774.0,1939.0,5.0
187470.0,1913.0,10.0
188036.0,1930.0,11.0
188352.0,1884.0,8.0
188669.0,1885.0,5.0
189938.0,1927.0,17.0
191528.0,1911.0,11.0
192822.0,1916.0,8.0
194427.0,1915.0,13.0
195682.0,1890.0,2.0
196295.0,1914.0,6.0
197912.0,1936.0,5.0
198839.0,1961.0,4.0
200187.0,1937.0,8.0
202133.0,1905.0,12.0
204076.0,1900.0,7.0
205368.0,1939.0,7.0
206665.0,1878.0,9.0
208284.0,1927.0,11.0
209644.0,1909.0,8.0
210677.0,1884.0,9.0
212127.0,1901.0,1.0
213452.0,1872.0,12.0
215629.0,1852.0,3.0
217906.0,1880.0,2.0
219136.0,1908.0,10.0
220556.0,1874.0,16.0
222309.0,1913.0,10.0
222922.0,1872.0,5.0
223476.0,1870.0,13.0
225501.0,1847.0,2.0
226041.0,1852.0,16.0
226508.0,1885.0,2.0
227493.0,1900.0,3.0
228336.0,1861.0,1.0
229940.0,1894.0,11.0
230138.0,1905.0,6.0
231073.0,1901.0,8.0
231850.0,1886.0,9.0
232767.0,1977.0,13.0
233584.0,1935.0,17.0
234452.0,1868.0,5.0
236005.0,1880.0,4.0
238738.0,1831.0,0.0
240777.0,1847.0,6.0
242698.0,1867.0,9.0
246436.0,1806.0,27.0
251636.0,1807.0,8.0
253511.0,1827.0,1.0
255436.0,1834.0,6.0
257860.0,1865.0,6.0
260160.0,1845.0,4.0
262545.0,1846.0,5.0
263150.0,1838.0,5.0
264607.0,1860.0,8.0
265371.0,1855.0,5.0
